,L3Out,L3Out_Subnet,Tenant,VRF,EXTEPG,VLAN,VirtualIP,PhysicalIPa,PhysicalIPb,RemoteIPAddress,L3Domain,StaticRoute,VPC_IPG,NODEID_a,NODEID_b,Port,RouterID_a,RouterID_b,VLANPool,AAEP
0,D_A1_L3Out,0.0.0.0/0,D_A,D_A1_VRF,D_A1_VRF_EXTEPG,500,192.168.0.1/28,192.168.0.2/28,192.168.0.3/28,192.168.0.14,D_L3OUT_DOM,0.0.0.0/0,D_A1_VRF_FW_IPG,103,104,3,172.20.100.103,172.20.100.104,VLPool_L3Out_SVLPL,D_L3OUT_AAEP
1,D_A1_L3Out,0.0.0.0/0,D_A,D_A1_VRF,D_A1_VRF_EXTEPG,500,192.168.0.1/28,192.168.0.4/28,192.168.0.5/28,192.168.0.14,D_L3OUT_DOM,0.0.0.0/0,D_A1_VRF_FW_IPG,203,204,3,172.20.100.203,172.20.100.204,VLPool_L3Out_SVLPL,D_L3OUT_AAEP
2,D_A2_L3Out,0.0.0.0/0,D_A,D_A2_VRF,D_A2_VRF_EXTEPG,501,192.168.0.17/28,192.168.0.18/28,192.168.0.19/28,192.168.0.30,D_L3OUT_DOM,0.0.0.0/0,D_A2_VRF_FW_IPG,103,104,3,172.20.100.103,172.20.100.104,VLPool_L3Out_SVLPL,D_L3OUT_AAEP
3,D_A2_L3Out,0.0.0.0/0,D_A,D_A2_VRF,D_A2_VRF_EXTEPG,501,192.168.0.17/28,192.168.0.20/28,192.168.0.21/28,192.168.0.30,D_L3OUT_DOM,0.0.0.0/0,D_A2_VRF_FW_IPG,203,204,3,172.20.100.203,172.20.100.204,VLPool_L3Out_SVLPL,D_L3OUT_AAEP
