,Tenant,VRF,BD_Name,BD_IP,AP,EPG_Name,VLAN_ID,VLAN_Pool,Domain,NODEID_FROM,NODEID_TO,Port,Mode,PGType,PolicyGroup
19,D_MGMT,T_LAB_AHP_MGT_010,VL1928_T_LAB_AHP_MGT_010_BD,,T_LAB_AHP_MGT_010_AP,VL1928_T_LAB_AHP_MGT_010_EPG,1928,D_MGMT_SVPL,D_MGMT_PDOM,207,208,24,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_23_24_VPC
20,D_MGMT,D_LAB_AHP_MGT_010,VL1929_D_LAB_AHP_MGT_010_BD,,D_LAB_AHP_MGT_010_AP,VL1929_D_LAB_AHP_MGT_010_EPG,1929,D_MGMT_SVPL,D_MGMT_PDOM,207,208,21,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_21_22_VPC
21,D_MGMT,D_LAB_AHP_MGT_010,VL1929_D_LAB_AHP_MGT_010_BD,,D_LAB_AHP_MGT_010_AP,VL1929_D_LAB_AHP_MGT_010_EPG,1929,D_MGMT_SVPL,D_MGMT_PDOM,207,208,22,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_21_22_VPC
22,D_MGMT,D_LAB_AHP_MGT_010,VL1929_D_LAB_AHP_MGT_010_BD,,D_LAB_AHP_MGT_010_AP,VL1929_D_LAB_AHP_MGT_010_EPG,1929,D_MGMT_SVPL,D_MGMT_PDOM,207,208,23,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_23_24_VPC
23,D_MGMT,D_LAB_AHP_MGT_010,VL1929_D_LAB_AHP_MGT_010_BD,,D_LAB_AHP_MGT_010_AP,VL1929_D_LAB_AHP_MGT_010_EPG,1929,D_MGMT_SVPL,D_MGMT_PDOM,207,208,24,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_23_24_VPC
24,D_DC,T_SRV_E_S_CB_PUB,VL2150_T_ORA_PUB_BD,,T_ORA_PUB_AP,VL2150_T_ORA_PUB_EPG,2150,D_DC_SVPL,D_DC_PDOM,203,204,23,regular,VPC,TLALFHC3203_TLALFHC3204_ETH1_23_VPC
25,D_DC,T_SRV_E_S_CB_PUB,VL2150_T_ORA_PUB_BD,,T_ORA_PUB_AP,VL2150_T_ORA_PUB_EPG,2150,D_DC_SVPL,D_DC_PDOM,203,204,24,regular,VPC,TLALFHC3203_TLALFHC3204_ETH1_24_VPC
26,D_DC,T_SRV_E_S_CB_PUB,VL2150_T_ORA_PUB_BD,,T_ORA_PUB_AP,VL2150_T_ORA_PUB_EPG,2150,D_DC_SVPL,D_DC_PDOM,203,204,25,regular,VPC,TLALFHC3203_TLALFHC3204_ETH1_25_VPC
27,D_DC,T_SRV_E_S_CB_PUB,VL2150_T_ORA_PUB_BD,,T_ORA_PUB_AP,VL2150_T_ORA_PUB_EPG,2150,D_DC_SVPL,D_DC_PDOM,203,204,26,regular,VPC,TLALFHC3203_TLALFHC3204_ETH1_26_VPC
28,D_DC,T_SRV_E_S_CB_PUB,VL2151_T_ORA_PUB_BD,,T_ORA_PUB_AP,VL2151_T_ORA_PUB_EPG,2151,D_DC_SVPL,D_DC_PDOM,203,204,25,regular,VPC,TLALFHC3203_TLALFHC3204_ETH1_25_VPC
